,Date,Timestamp,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens
,,,,,,,USDC,PERP,USDC,PERP,USDC,PERP,USDC,PERP
,08/10/2022,1665187200,22884756.35134219,6300472.293276486,22884756.35134219,6300472.293276486,22884756.35134219,6300472.293276486,22884756.35134219,6300472.293276486,22820129.799406,10925535.559564825,22820129.799406,10925535.559564825
,09/10/2022,1665273600,22741279.917957492,6241218.703047558,22741279.917957492,6241218.703047558,22741095.456297584,6251674.323370489,22741095.456297584,6251674.323370489,22816072.848017,10925413.085612182,22816072.848017,10925413.085612182
,10/10/2022,1665360000,22753463.078502227,6257709.290632112,22753463.078502227,6257709.290632112,22753463.078502227,6257709.290632112,22753463.078502227,6257709.290632112,22815681.441794,10916481.531365167,22815681.441794,10916481.531365167
,11/10/2022,1665446400,22880264.62942209,5525761.039788088,22880264.62942209,5525761.039788088,22880264.62942209,5525761.039788088,22880264.62942209,5525761.039788088,22834595.438545,10227019.747530285,22834595.438545,10227019.747530285
,12/10/2022,1665532800,22844883.886695627,5526282.673863702,22844883.886695627,5526282.673863702,22844883.886695627,5526282.673863702,22844883.886695627,5526282.673863702,22852265.168345,10221553.082148716,22852265.168345,10221553.082148716
,13/10/2022,1665619200,22870118.470421217,5463960.084260288,22870118.470421217,5463960.084260288,22870118.470421217,5463960.084260288,22870118.470421217,5463960.084260288,22847271.199222,10204388.225761203,22847271.199222,10204388.225761203
,14/10/2022,1665705600,22948889.367026247,5248916.405949807,22948889.367026247,5248916.405949807,22948889.367026247,5248916.405949807,22948889.367026247,5248916.405949807,22903083.200625,10198189.60492763,22903083.200625,10198189.60492763
,15/10/2022,1665792000,23006109.952233408,4659730.838286857,23006109.952233408,4659730.838286857,23006109.952233408,4659730.838286857,23006109.952233408,4659730.838286857,22983126.825408,9088522.324312923,22983126.825408,9088522.324312923
,16/10/2022,1665878400,22973379.71383842,5073004.81259688,22973379.71383842,5073004.81259688,22973379.71383842,5073004.81259688,22973379.71383842,5073004.81259688,22986045.024647,9088279.324312923,22986045.024647,9088279.324312923
,17/10/2022,1665964800,23014825.577342138,6037992.253699379,23014825.577342138,6037992.253699379,23014825.577342138,6037992.253699379,23014825.577342138,6037992.253699379,23030624.585808,9065169.696199888,23030624.585808,9065169.696199888
,18/10/2022,1666051200,22998992.575557996,5561435.648772543,22998992.575557996,5561435.648772543,22998992.575557996,5561435.648772543,22998992.575557996,5561435.648772543,22976016.558999,9044882.01390624,22976016.558999,9044882.01390624
,19/10/2022,1666137600,23200385.409249455,5343640.180975366,23200385.409249455,5343640.180975366,23200385.409249455,5343640.180975366,23200385.409249455,5343640.180975366,23207742.263547,9040376.833447868,23207742.263547,9040376.833447868
,20/10/2022,1666224000,23327471.283952437,4907188.8682101695,23327471.283952437,4907188.8682101695,23327471.283952437,4907188.8682101695,23327471.283952437,4907188.8682101695,23211414.212888,9040376.833447868,23211414.212888,9040376.833447868
,21/10/2022,1666310400,23114574.935196,5057736.2790992195,23114574.935196,5057736.2790992195,23114574.935196,5057736.2790992195,23114574.935196,5057736.2790992195,23114574.935196,9034495.20671499,23114574.935196,9034495.20671499
,22/10/2022,1666396800,23153741.61193093,4946485.505123731,23153741.61193093,4946485.505123731,23153741.61193093,4946485.505123731,23153741.61193093,4946485.505123731,23130611.00093,9034495.20671499,23130611.00093,9034495.20671499
,23/10/2022,1666483200,23084487.513267,4959742.482723263,23084487.513267,4959742.482723263,23084487.513267,4959742.482723263,23084487.513267,4959742.482723263,23084487.513267,9028662.910699455,23084487.513267,9028662.910699455
,24/10/2022,1666569600,23016290.18065808,4971397.4298647335,23016290.18065808,4971397.4298647335,23016290.18065808,4971397.4298647335,23016290.18065808,4971397.4298647335,23025431.276875,9028726.580699455,23025431.276875,9028726.580699455
,25/10/2022,1666656000,22889502.307707034,4547153.505545419,22889502.307707034,4547153.505545419,22889502.307707034,4547153.505545419,22889502.307707034,4547153.505545419,22866635.672035,8364565.580699455,22866635.672035,8364565.580699455
,26/10/2022,1666742400,22775561.832352,4556148.226971805,22775561.832352,4556148.226971805,22775561.832352,4556148.226971805,22775561.832352,4556148.226971805,22775561.832352,8350328.938321751,22775561.832352,8350328.938321751
,27/10/2022,1666828800,22722280.519638,4691060.0689943405,22722280.519638,4691060.0689943405,22722280.519638,4691060.0689943405,22722280.519638,4691060.0689943405,22722280.519638,8317364.415033724,22722280.519638,8317364.415033724
,28/10/2022,1666915200,22602312.05529397,4536882.571445951,22602312.05529397,4536882.571445951,22602312.05529397,4536882.571445951,22602312.05529397,4536882.571445951,22579732.322971,8301615.300556538,22579732.322971,8301615.300556538
,29/10/2022,1667001600,22470665.66879429,4582416.455633794,22470665.66879429,4582416.455633794,22470665.66879429,4582416.455633794,22470665.66879429,4582416.455633794,22491222.646293,8298908.228852646,22491222.646293,8298908.228852646
,30/10/2022,1667088000,22438379.890902,4575868.587872998,22438379.890902,4575868.587872998,22438379.890902,4575868.587872998,22438379.890902,4575868.587872998,22438379.890902,8291945.361239111,22438379.890902,8291945.361239111
,31/10/2022,1667174400,22432079.22654352,4483243.698758734,22432079.22654352,4483243.698758734,22432079.22654352,4483243.698758734,22432079.22654352,4483243.698758734,22435444.543225,8289990.974069501,22435444.543225,8289990.974069501
,01/11/2022,1667260800,22224535.82083523,4471500.254871673,22224535.82083523,4471500.254871673,22224535.82083523,4471500.254871673,22224535.82083523,4471500.254871673,22241016.413998,8289828.354069501,22241016.413998,8289828.354069501
,02/11/2022,1667347200,22322238.769539,4525225.723651056,22322238.769539,4525225.723651056,22322238.769539,4525225.723651056,22322238.769539,4525225.723651056,22322238.769539,8288657.512631203,22322238.769539,8288657.512631203
,03/11/2022,1667433600,22276023.509531,4387518.497848281,22276023.509531,4387518.497848281,22276023.509531,4387518.497848281,22276023.509531,4387518.497848281,22276023.509531,8287452.986678327,22276023.509531,8287452.986678327
,04/11/2022,1667520000,21834811.043132,4727182.150363464,21834811.043132,4727182.150363464,21834811.043132,4727182.150363464,21834811.043132,4727182.150363464,21834811.043132,8287166.607114495,21834811.043132,8287166.607114495
,05/11/2022,1667606400,21670413.385997012,4929169.246856772,21670413.385997012,4929169.246856772,21670413.385997012,4929169.246856772,21670413.385997012,4929169.246856772,21860335.985035,8273513.826241652,21860335.985035,8273513.826241652
,06/11/2022,1667692800,21824223.305113148,5018489.929812544,21824223.305113148,5018489.929812544,21824223.305113148,5018489.929812544,21824223.305113148,5018489.929812544,21842352.457653,8272204.3318721475,21842352.457653,8272204.3318721475
,07/11/2022,1667779200,21908916.459092837,4702103.33032037,21908916.459092837,4702103.33032037,21908916.459092837,4702103.33032037,21908916.459092837,4702103.33032037,21865186.086919,8280362.711927142,21865186.086919,8280362.711927142
,08/11/2022,1667865600,21964558.295209527,4646252.2838284215,21964558.295209527,4646252.2838284215,21964558.295209527,4646252.2838284215,21964558.295209527,4646252.2838284215,21942615.67953,8280362.711927142,21942615.67953,8280362.711927142
,09/11/2022,1667952000,21680631.698987,3609252.277887654,21680631.698987,3609252.277887654,21680631.698987,3609252.277887654,21680631.698987,3609252.277887654,21680631.698987,8279335.859446142,21680631.698987,8279335.859446142
,10/11/2022,1668038400,21583052.533779345,2792430.4569235295,21583052.533779345,2792430.4569235295,21583052.533779345,2792430.4569235295,21583052.533779345,2792430.4569235295,21672059.682897,8278135.859446142,21672059.682897,8278135.859446142
,11/11/2022,1668124800,20797953.231263638,3170002.8646110934,20797953.231263638,3170002.8646110934,20797953.231263638,3170002.8646110934,20797953.231263638,3170002.8646110934,20694480.827128,8230716.551024147,20694480.827128,8230716.551024147
,12/11/2022,1668211200,20615600.371643927,3992935.7826373596,20615600.371643927,3992935.7826373596,20615600.371643927,3992935.7826373596,20615600.371643927,3992935.7826373596,20553938.555976,8198760.582561512,20553938.555976,8198760.582561512
,13/11/2022,1668297600,20297379.41331809,3337477.239339179,20297379.41331809,3337477.239339179,20297379.41331809,3337477.239339179,20297379.41331809,3337477.239339179,20306415.768335,8180853.215101355,20306415.768335,8180853.215101355
,14/11/2022,1668384000,20193550.512372777,4121529.0847808504,20193550.512372777,4121529.0847808504,20193550.512372777,4121529.0847808504,20193550.512372777,4121529.0847808504,20216759.352109,8136245.538137037,20216759.352109,8136245.538137037
,15/11/2022,1668470400,19948674.291408,3875456.4747254336,19948674.291408,3875456.4747254336,19948674.291408,3875456.4747254336,19948674.291408,3875456.4747254336,19948674.291408,8136245.538137037,19948674.291408,8136245.538137037
,16/11/2022,1668556800,19622904.242367424,3728772.095187843,19622904.242367424,3728772.095187843,19622904.242367424,3728772.095187843,19622904.242367424,3728772.095187843,19603300.941426,8052146.928137037,19603300.941426,8052146.928137037
,17/11/2022,1668643200,19621142.964418,3759185.1936730826,19621142.964418,3759185.1936730826,19621142.964418,3759185.1936730826,19621142.964418,3759185.1936730826,19621142.964418,8048147.761922474,19621142.964418,8048147.761922474
,18/11/2022,1668729600,17639832.924831133,3749274.647244378,17639832.924831133,3749274.647244378,17639832.924831133,3749274.647244378,17639832.924831133,3749274.647244378,17659364.181616,8045619.218896867,17659364.181616,8045619.218896867
,19/11/2022,1668816000,17314761.69261307,3679939.323073734,17314761.69261307,3679939.323073734,17314761.69261307,3679939.323073734,17314761.69261307,3679939.323073734,17280201.290033,8040086.002096867,17280201.290033,8040086.002096867
,20/11/2022,1668902400,17325226.02376766,3689064.820686114,17325226.02376766,3689064.820686114,17325226.02376766,3689064.820686114,17325226.02376766,3689064.820686114,17307918.105662,8040086.002096867,17307918.105662,8040086.002096867
,21/11/2022,1668988800,17393691.83966414,3173174.3648452,17393691.83966414,3173174.3648452,17393691.83966414,3173174.3648452,17393691.83966414,3173174.3648452,17376315.52414,8036832.058549904,17376315.52414,8036832.058549904
