,Date,Timestamp,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,bsc,bsc-staking,pool2,Total,bsc-pool2,staking,bsc,bsc,bsc,bsc,bsc,bsc-staking,pool2,pool2,Total,Total,Total,Total,Total,bsc-pool2,bsc-pool2,staking,bsc,bsc,bsc,bsc,bsc,bsc-staking,pool2,pool2,Total,Total,Total,Total,Total,bsc-pool2,bsc-pool2,staking
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,BABY,USDT,BUSD,LEOS,CAKE,APX,APX,BUSD,BABY,USDT,BUSD,LEOS,CAKE,APX,BUSD,APX,BABY,USDT,BUSD,LEOS,CAKE,APX,APX,BUSD,BABY,USDT,BUSD,LEOS,CAKE,APX,BUSD,APX
,11/11/2022,1668124800,17897247.68579174,4293377.855811114,3064011.5867705224,17897247.68579174,3064011.5867705224,4293377.855811114,215.52304258202128,10540562.861222781,6813325.669285664,0.26910233028533126,543143.3631383805,4293377.855811114,1533823.883229577,1530187.7035409457,215.52304258202128,10540562.861222781,6813325.669285664,0.26910233028533126,543143.3631383805,1533823.883229577,1530187.7035409457,4293377.855811114,7124.14697319,10540784.217691353,6779428.526652403,172.02071792,126606.84455440103,175579030.8387921,62726207.647978745,1522574.829393976,7124.14697319,10540784.217691353,6779428.526652403,172.02071792,126606.84455440103,62726207.647978745,1522574.829393976,175579030.8387921
,12/11/2022,1668211200,18125908.388040226,4276795.334080627,3055480.155544515,18125908.388040226,3055480.155544515,4276795.334080627,204.9659829068602,10728895.843324605,6892700.422822991,0.24973107724036,504106.90617864183,4276795.334080627,1525678.9588622653,1529801.1966822497,204.9659829068602,10728895.843324605,6892700.422822991,0.24973107724036,504106.90617864183,1525678.9588622653,1529801.1966822497,4276795.334080627,7124.14697319,10728895.843324605,6878942.537747497,172.02071792,123555.61425947104,175357048.6320564,62555848.1263232,1526747.7012796903,7124.14697319,10728895.843324605,6878942.537747497,172.02071792,123555.61425947104,62555848.1263232,1526747.7012796903,175357048.6320564
,13/11/2022,1668297600,18258470.85514894,4266040.425218056,3051067.880492324,18258470.85514894,3051067.880492324,4266040.425218056,204.48253829325955,10868826.282785079,6894774.744031795,0.2412022900458864,494665.1045914841,4266040.425218056,1520516.7168867586,1530551.1636055652,204.48253829325955,10868826.282785079,6894774.744031795,0.2412022900458864,494665.1045914841,1520516.7168867586,1530551.1636055652,4266040.425218056,7124.14697319,10847132.018747583,6881012.718594606,172.02071792,123666.27614787103,175425253.15186995,62525668.62815785,1527496.171263039,7124.14697319,10847132.018747583,6881012.718594606,172.02071792,123666.27614787103,62525668.62815785,1527496.171263039,175425253.15186995
,14/11/2022,1668384000,18332590.724372912,4617484.907299107,3164127.0275731757,18332590.724372912,3164127.0275731757,4617484.907299107,227.93976031707996,10895169.108604142,6937681.307679087,0.24445176140739522,499512.1238776059,4617484.907299107,1576566.703782867,1587560.323790309,227.93976031707996,10895169.108604142,6937681.307679087,0.24445176140739522,499512.1238776059,1576566.703782867,1587560.323790309,4617484.907299107,8124.14697319,10904197.784369601,6930750.557121966,172.02071792,125821.69367194103,176394934.45189062,60227241.87646114,1585974.3494408682,8124.14697319,10904197.784369601,6930750.557121966,172.02071792,125821.69367194103,60227241.87646114,1585974.3494408682,176394934.45189062
,15/11/2022,1668470400,17603770.731614135,6098451.955329231,3633437.424222302,17603770.731614135,3633437.424222302,6098451.955329231,223.84941479901823,10864450.064124104,6240191.33717915,0.2452000515303472,498905.2356960317,6098451.955329231,1821642.5789453,1811794.845277002,223.84941479901823,10864450.064124104,6240191.33717915,0.2452000515303472,498905.2356960317,1821642.5789453,1811794.845277002,6098451.955329231,8124.14697319,10842764.535053996,6233957.379799352,172.02071792,125986.17063031104,175958081.20447135,52559688.127325,1809984.8604165856,8124.14697319,10842764.535053996,6233957.379799352,172.02071792,125986.17063031104,52559688.127325,1809984.8604165856,175958081.20447135
,16/11/2022,1668556800,17509494.64149426,5866413.798406876,3560395.638045285,17509494.64149426,3560395.638045285,5866413.798406876,234.745114512112,10866005.243064005,6145477.741254082,0.240829005088,497776.6712326556,5866413.798406876,1783005.0022742406,1777390.6357710443,234.745114512112,10866005.243064005,6145477.741254082,0.240829005088,497776.6712326556,1783005.0022742406,1777390.6357710443,5866413.798406876,8124.14697319,10866005.243064005,6145477.741254082,172.02071792,126660.73059355104,176090161.60091096,53519858.94192588,1777390.6357710443,8124.14697319,10866005.243064005,6145477.741254082,172.02071792,126660.73059355104,53519858.94192588,1777390.6357710443,176090161.60091096
,17/11/2022,1668643200,17420278.796205923,5823577.072500113,3556992.911238589,17420278.796205923,3556992.911238589,5823577.072500113,240.91516041384062,10758093.282178305,6150855.927028433,0.2588791390193456,511088.4129596324,5823577.072500113,1782867.5561274535,1774125.3551111354,240.91516041384062,10758093.282178305,6150855.927028433,0.2588791390193456,511088.4129596324,1782867.5561274535,1774125.3551111354,5823577.072500113,8124.14697319,10760363.718922997,6144711.215812622,172.02071792,132406.32460094104,175316326.02836072,53672474.12443708,1772353.0021090265,8124.14697319,10760363.718922997,6144711.215812622,172.02071792,132406.32460094104,53672474.12443708,1772353.0021090265,175316326.02836072
,18/11/2022,1668729600,17438815.653895553,5567089.295982864,3475830.9693008796,17438815.653895553,3475830.9693008796,5567089.295982864,235.12597452221516,10751962.710582329,6181360.386589058,0.30361312671444163,505257.1271365179,5567089.295982864,1732399.0392168649,1743431.9300840148,235.12597452221516,10751962.710582329,6181360.386589058,0.30361312671444163,505257.1271365179,1732399.0392168649,1743431.9300840148,5567089.295982864,8124.14697319,10764503.356993226,6185962.742869752,172.02071792,132962.40187803103,175216398.25393423,54524852.01004212,1744730.0092108676,8124.14697319,10764503.356993226,6185962.742869752,172.02071792,132962.40187803103,54524852.01004212,1744730.0092108676,175216398.25393423
,19/11/2022,1668816000,17552996.562082104,5625918.457721223,3487858.527396162,17552996.562082104,3487858.527396162,5625918.457721223,231.1467673347467,10853513.948823938,6188261.716928822,0.3152142039309664,510989.43434780557,5625918.457721223,1732435.1262433412,1755423.4011528206,231.1467673347467,10853513.948823938,6188261.716928822,0.3152142039309664,510989.43434780557,1732435.1262433412,1755423.4011528206,5625918.457721223,8124.14697319,10842671.277546393,6175909.897134553,172.02071792,133070.16519474104,176340184.69664797,54301876.65045776,1751919.5620287631,8124.14697319,10842671.277546393,6175909.897134553,172.02071792,133070.16519474104,54301876.65045776,1751919.5620287631,176340184.69664797
,20/11/2022,1668902400,17620519.101635884,5683750.4503422715,3503162.911481861,17620519.101635884,3503162.911481861,5683750.4503422715,239.69336995054257,10840398.951537015,6255570.974864094,0.38036705084316647,524309.1014977745,5683750.4503422715,1746813.2669496394,1756349.6445322214,239.69336995054257,10840398.951537015,6255570.974864094,0.38036705084316647,524309.1014977745,1746813.2669496394,1756349.6445322214,5683750.4503422715,8124.14697319,10840398.951537015,6249321.653210883,172.02071792,136895.32676182102,176413838.67612645,54218079.51726906,1754595.0494827388,8124.14697319,10840398.951537015,6249321.653210883,172.02071792,136895.32676182102,54218079.51726906,1754595.0494827388,176413838.67612645
,21/11/2022,1668988800,17503939.162844446,5896940.850400132,3564077.337777024,17503939.162844446,3564077.337777024,5896940.850400132,237.23037231268057,10694024.496349858,6290743.986139325,0.3232596129080848,518933.1267233345,5896940.850400132,1773219.2220958404,1790858.1156811838,237.23037231268057,10694024.496349858,6290743.986139325,0.3232596129080848,518933.1267233345,1773219.2220958404,1790858.1156811838,5896940.850400132,8124.14697319,10705661.550455203,6284459.526612713,172.02071792,136921.66932014102,176461759.61400458,53062323.677738175,1789069.0466345495,8124.14697319,10705661.550455203,6284459.526612713,172.02071792,136921.66932014102,53062323.677738175,1789069.0466345495,176461759.61400458
,22/11/2022,1669075200,17379273.538234312,5776532.775971524,3532196.518171069,17379273.538234312,3532196.518171069,5776532.775971524,222.47878996317135,10555589.193869937,6320362.000894821,0.29349142767202885,503099.5711881627,5776532.775971524,1769594.8772339383,1762601.6409371311,222.47878996317135,10555589.193869937,6320362.000894821,0.29349142767202885,503099.5711881627,1769594.8772339383,1762601.6409371311,5776532.775971524,8124.14697319,10545044.149720218,6314737.102281823,172.02071792,137835.49895566102,175977099.98365673,53909185.09748946,1761032.9878245448,8124.14697319,10545044.149720218,6314737.102281823,172.02071792,137835.49895566102,53909185.09748946,1761032.9878245448,175977099.98365673
,23/11/2022,1669161600,17255045.667238705,5773092.1816359265,3537364.4329743055,17255045.667238705,3537364.4329743055,5773092.1816359265,223.96810858629655,10464053.2881098,6281647.920510831,0.30802545812908966,509120.1824840289,5773092.1816359265,1777020.0971356023,1760344.3358387032,223.96810858629655,10464053.2881098,6281647.920510831,0.30802545812908966,509120.1824840289,1777020.0971356023,1760344.3358387032,5773092.1816359265,8124.14697319,10453599.68842138,6279137.378789913,172.02071792,135765.38199574105,175275635.94122168,53951732.93725464,1759640.7914894768,8124.14697319,10453599.68842138,6279137.378789913,172.02071792,135765.38199574105,53951732.93725464,1759640.7914894768,175275635.94122168
