,Date,Timestamp,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,ethereum,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI
,15/07/2022,1657843200,545515631.7615992,545515631.7615992,2196671.6849657507,539297968.79668,110.70529744894225,4020880.574655986,,2196671.6849657507,539297968.79668,4020880.574655986,110.70529744894225,1849.6886004140747,538759209.587093,20.275695503469276,4012854.864926134,,1849.6886004140747,538759209.587093,4012854.864926134,20.275695503469276
,16/07/2022,1657929600,549867402.5907377,549867402.5907377,2257409.540363729,543593680.227163,110.70529744894225,4016202.117913553,,2257409.540363729,543593680.227163,4016202.117913553,110.70529744894225,1849.6685952310058,543593680.227163,20.275695503469276,4012189.927985568,,1849.6685952310058,543593680.227163,4012189.927985568,20.275695503469276
,17/07/2022,1658016000,554326890.2235906,554326890.2235906,2518490.262580585,547822228.7866031,110.70529744894225,3986060.4691094533,,2518490.262580585,547822228.7866031,3986060.4691094533,110.70529744894225,1849.6685952310058,547971276.97394,20.275695503469276,3989882.776809637,,1849.6685952310058,547971276.97394,3989882.776809637,20.275695503469276
,18/07/2022,1658102400,552992269.651353,552992269.651353,2485897.8928834023,546522473.2017851,110.70529744894225,3983787.8513871077,,2485897.8928834023,546522473.2017851,3983787.8513871077,110.70529744894225,1849.6264083953886,545976496.70508,20.275695503469276,3988813.756720576,,1849.6264083953886,545976496.70508,3988813.756720576,20.275695503469276
,19/07/2022,1658188800,561951720.7106705,561951720.7106705,2910516.6274587316,555032918.2453669,155.10907060153997,4008130.7287741527,,2910516.6274587316,555032918.2453669,4008130.7287741527,155.10907060153997,1849.6264083953886,552821631.718493,20.275695503469276,3988189.7798747793,,1849.6264083953886,552821631.718493,3988189.7798747793,20.275695503469276
,20/07/2022,1658275200,571709517.8973861,571709517.8973861,2848197.519915126,564849243.8030908,172.14065482445415,4011904.4337253235,,2848197.519915126,564849243.8030908,4011904.4337253235,172.14065482445415,1849.2507547219016,562598848.409453,20.275695503469276,3987976.5742796455,,1849.2507547219016,562598848.409453,3987976.5742796455,20.275695503469276
,21/07/2022,1658361600,571090863.1564116,571090863.1564116,2817680.411739055,564287491.1281666,159.16420970223382,3985532.4522963474,,2817680.411739055,564287491.1281666,3985532.4522963474,159.16420970223382,1849.1507325508805,564967146.605533,20.275695503469276,3987805.5014321636,,1849.1507325508805,564967146.605533,3987805.5014321636,20.275695503469276
,22/07/2022,1658448000,579648834.5862609,579648834.5862609,2876534.386573554,572787607.1986243,155.51458451160934,3984537.4864786062,,2876534.386573554,572787607.1986243,3984537.4864786062,155.51458451160934,1849.1240705143634,573051784.071081,20.275695503469276,3986929.6442651656,,1849.1240705143634,573051784.071081,3986929.6442651656,20.275695503469276
,23/07/2022,1658534400,575233427.7743542,575233427.7743542,2957958.3611162845,568284540.4280723,174.57373828487044,3990754.411427326,,2957958.3611162845,568284540.4280723,3990754.411427326,174.57373828487044,1848.7239756976778,567150239.948176,20.275695503469276,3986767.643783543,,1848.7239756976778,567150239.948176,3986767.643783543,20.275695503469276
,24/07/2022,1658620800,573866453.3776312,573866453.3776312,2893477.7010210515,566986621.260814,,3986354.415796171,,2893477.7010210515,566986621.260814,3986354.415796171,,1848.713973293625,566986621.260814,,3986765.052596588,,1848.713973293625,566986621.260814,3986765.052596588,
,25/07/2022,1658707200,569191598.2096114,569191598.2096114,2892043.1398600847,562301132.0238272,,3998423.04592419,,2892043.1398600847,562301132.0238272,3998423.04592419,,1848.163456410376,561739392.631196,,3986463.6549593126,,1848.163456410376,561739392.631196,3986463.6549593126,
