,Date,Timestamp,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma,Opyn Gamma
,23/04/2022,1650672000,313815326.4588346,0,321391119.6248515,7575793.166016908,110722283.47784658,106250844.86369878,31776170.919558406,1.1437433120971064e-14,61960023.942700446,930675.7187777258,2175327.5362526807,,,,,,,,,,,,110722283.47784658,106250844.86369878,31776170.919558406,1.1437433120971064e-14,61960023.942700446,930675.7187777258,7575793.166016908,2175327.5362526807,,,,,,,,,7575793.166016908,110781770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110781770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,24/04/2022,1650758400,312394162.10539746,0,319846423.5853611,7452261.479963646,110898325.11116865,105388479.57218365,31620313.344333813,1.1431803775355995e-14,61407350.554403074,913716.2190233585,2165977.3042849144,,,,,,,,,,,,110898325.11116865,105388479.57218365,31620313.344333813,1.1431803775355995e-14,61407350.554403074,913716.2190233585,7452261.479963646,2165977.3042849144,,,,,,,,,7452261.479963646,110781770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110781770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,25/04/2022,1650844800,311399844.8362397,0,318715730.8703612,7315886.034121531,110693570.48040417,104928538.24162257,31584124.97607084,1.1361208218384912e-14,61216851.58601275,873583.3406904428,2103176.211438885,,,,,,,,,,,,110693570.48040417,104928538.24162257,31584124.97607084,1.1361208218384912e-14,61216851.58601275,873583.3406904428,7315886.034121531,2103176.211438885,,,,,,,,,7315886.034121531,110781770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110781770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,26/04/2022,1650931200,316855954.26952255,0,324296551.9626148,7440597.693092235,110715905.76775211,108013602.06899932,32324947.122535065,1.1417950581469851e-14,62915762.61151537,889024.4182174609,1996712.280503229,,,,,,,,,,,,110715905.76775211,108013602.06899932,32324947.122535065,1.1417950581469851e-14,62915762.61151537,889024.4182174609,7440597.693092235,1996712.280503229,,,,,,,,,7440597.693092235,110784770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110784770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,27/04/2022,1651017600,302928076.0751355,0,309938119.4906201,7010043.415484559,110530105.84484924,100449377.71198839,30475175.349673197,1.1430281904055996e-14,58826201.0392868,828422.995259166,1818793.1340787206,,,,,,,,,,,,110530105.84484924,100449377.71198839,30475175.349673197,1.1430281904055996e-14,58826201.0392868,828422.995259166,7010043.415484559,1818793.1340787206,,,,,,,,,7010043.415484559,110784770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110784770.94059,35855.584723463326,799.43749661,1.1424e-14,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,28/04/2022,1651104000,325272178.369032,0,332405838.58952403,7133660.220492025,110517676.6518786,103570439.4189223,31343650.133707926,16742122.746159602,60346405.822835654,886225.6127184198,1865657.9828094544,,,,,,,,,,,,110517676.6518786,103570439.4189223,31343650.133707926,16742122.746159602,60346405.822835654,886225.6127184198,7133660.220492025,1865657.9828094544,,,,,,,,,7133660.220492025,110784770.94059,35855.59472346333,799.43749661,16733647.974601842,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110784770.94059,35855.59472346333,799.43749661,16733647.974601842,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,29/04/2022,1651190400,328358294.07615006,0,335231533.94813514,6873239.871985062,110557917.8873753,105158010.82525767,31779540.42655356,16719118.724710839,61408818.77520426,872370.6320772205,1862516.8049711974,,,,,,,,,,,,110557917.8873753,105158010.82525767,31779540.42655356,16719118.724710839,61408818.77520426,872370.6320772205,6873239.871985062,1862516.8049711974,,,,,,,,,6873239.871985062,110784770.94059,35855.59472346333,799.43749661,16733647.974601842,19587.65111783071,5252.9474536711305,499395.9841770878,,,,,,,,,,,,110784770.94059,35855.59472346333,799.43749661,16733647.974601842,19587.65111783071,5252.9474536711305,102174.42942864938,499395.9841770878,,,,,,,,,102174.42942864938
,30/04/2022,1651276800,302048444.2640348,0,308851090.5249107,6802646.26087591,108192371.08784166,75179684.82726653,34826351.285194464,17945644.714420397,62882372.7088882,1216472.6496086994,1805546.9908148856,,,,,,,,,,,,108192371.08784166,75179684.82726653,34826351.285194464,17945644.714420397,62882372.7088882,1216472.6496086994,6802646.26087591,1805546.9908148856,,,,,,,,,6802646.26087591,108499671.097734,26684.00211211719,901.83063673,17935336.232893478,20876.036153111396,7729.79550571613,539395.9841770878,,,,,,,,,,,,108499671.097734,26684.00211211719,901.83063673,17935336.232893478,20876.036153111396,7729.79550571613,107233.33755304266,539395.9841770878,,,,,,,,,107233.33755304266
,01/05/2022,1651363200,297127892.91017526,0,303233037.2797006,6105144.3695253115,108278371.05260254,72965480.12120916,34033277.53826775,17967934.703707278,61096863.63699892,1106950.8767048696,1679014.9806847544,,,,,,,,,,,,108278371.05260254,72965480.12120916,34033277.53826775,17967934.703707278,61096863.63699892,1106950.8767048696,6105144.3695253115,1679014.9806847544,,,,,,,,,6105144.3695253115,108499671.097734,26684.002111554393,901.83063673,17935336.232893478,20876.036153111396,7729.79550571613,539395.9841770878,,,,,,,,,,,,108499671.097734,26684.002111554393,901.83063673,17935336.232893478,20876.036153111396,7729.79550571613,107233.34235304265,539395.9841770878,,,,,,,,,107233.34235304265
,02/05/2022,1651449600,302627873.5346621,0,308945173.0726627,6317299.5380005725,108309089.26411529,75593916.64100538,34781057.4302153,17943905.911117956,63114549.25995514,1133519.1068128103,1751835.9214402824,,,,,,,,,,,,108309089.26411529,75593916.64100538,34781057.4302153,17943905.911117956,63114549.25995514,1133519.1068128103,6317299.5380005725,1751835.9214402824,,,,,,,,,6317299.5380005725,108499671.097734,26684.002111554393,901.83063673,17935336.232893478,20876.036153111396,7729.79550571613,539395.9841770878,,,,,,,,,,,,108499671.097734,26684.002111554393,901.83063673,17935336.232893478,20876.036153111396,7729.79550571613,107239.69224304265,539395.9841770878,,,,,,,,,107239.69224304265
